name,url,links,phone,categories,address,location,rating,rating_count,email,facebook
Heavenly Wings,https://www.yellowpages.com/chattanooga-tn/mip/heavenly-wings-474545117,"{'Website': 'http://www.chattanoogawings.com', 'View Menu': '/chattanooga-tn/mip/heavenly-wings-474545117#open-menu'}",(423) 443-4766,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",1263 E 3rd St,"Chattanooga, TN 37404",,,yp-logo@2x.png,
Heavenly Wings,https://www.yellowpages.com/chattanooga-tn/mip/heavenly-wings-10273137,"{'Website': 'http://chattanoogawings.com', 'View Menu': '/chattanooga-tn/mip/heavenly-wings-10273137#open-menu'}",(423) 499-9949,"['Barbecue Restaurants', 'Chicken Restaurants', 'American Restaurants']",5231 Brainerd Rd,"Chattanooga, TN 37411",,,yp-logo@2x.png,
BBQ Shack,https://www.yellowpages.com/fort-oglethorpe-ga/mip/bbq-shack-7803803,"{'Website': 'https://www.facebook.com/BBQ-Shack-913972951980688', 'View Menu': '/fort-oglethorpe-ga/mip/bbq-shack-7803803#open-menu'}",(706) 866-7976,"['Barbecue Restaurants', 'American Restaurants', 'Caterers']",2936 Lafayette Rd,"Fort Oglethorpe, GA 30742",four,1,fortogeorgia@gmail.com,https://www.facebook.com/BBQ-Shack-913972951980688
BBQ City,https://www.yellowpages.com/hixson-tn/mip/bbq-city-476080755,{},(423) 531-1765,"['Barbecue Restaurants', 'Restaurants']",4848 Hixson Pike,"Hixson, TN 37343",five,2,yp-logo@2x.png,
Texas Roadhouse,https://www.yellowpages.com/hixson-tn/mip/texas-roadhouse-545625601,{'Website': 'https://www.texasroadhouse.com/locations/631-hixsontn'},(423) 680-6388,"['Barbecue Restaurants', 'American Restaurants', 'Steak Houses']",5362 Highway 153,"Hixson, TN 37343",,,yp-logo@2x.png,
Buddy's bar-b-q - East Ridge,https://www.yellowpages.com/east-ridge-tn/mip/buddys-bar-b-q-east-ridge-550777838,"{'Website': 'http://www.buddysbbqeastridge.com', 'View Menu': '/east-ridge-tn/mip/buddys-bar-b-q-east-ridge-550777838#open-menu'}",(423) 541-7400,"['Barbecue Restaurants', 'Take Out Restaurants', 'Restaurants']",619 Camp Jordan Pkwy,"East Ridge, TN 37412",,,yp-logo@2x.png,
The Home Plate,https://www.yellowpages.com/east-ridge-tn/mip/the-home-plate-5571929,{'View Menu': '/east-ridge-tn/mip/the-home-plate-5571929#open-menu'},(423) 296-0481,"['Barbecue Restaurants', 'Bars', 'Bar & Grills']",5611 Ringgold Rd Ste 100,"East Ridge, TN 37412",,,yp-logo@2x.png,
Lennys Barbecue Delivery 1 Slab Only 20,https://www.yellowpages.com/rossville-ga/mip/lennys-barbecue-delivery-1-slab-only-20-503845631,{},(423) 208-3431,"['Barbecue Restaurants', 'Restaurants']",602 Villard St,"Rossville, GA 30741",,,yp-logo@2x.png,
BBQ City,https://www.yellowpages.com/fort-oglethorpe-ga/mip/bbq-city-22104073,{},(706) 861-0044,"['Barbecue Restaurants', 'Restaurants']",1549 Battlefield Pkwy,"Fort Oglethorpe, GA 30742",,,yp-logo@2x.png,
Rib & Loin,https://www.yellowpages.com/hixson-tn/mip/rib-loin-1331946,{'Website': 'http://www.ribandloin.com'},(423) 877-7675,"['Barbecue Restaurants', 'Restaurant Menus', 'Caterers']",5435 Highway 153,"Hixson, TN 37343",five,1,billy1@catt.com,
Hog Heaven Barbecue,https://www.yellowpages.com/rossville-ga/mip/hog-heaven-barbecue-8879553,{},(706) 861-1080,['Barbecue Restaurants'],1105 Lafayette Rd,"Rossville, GA 30741",,,yp-logo@2x.png,
Choo Choo Barbeque,https://www.yellowpages.com/hixson-tn/mip/choo-choo-barbeque-4069931,{'Website': 'http://www.choochoobbqeastridge.com'},(423) 843-9554,"['Barbecue Restaurants', 'Take Out Restaurants', 'Caterers']",6410 Hixson Pike,"Hixson, TN 37343",four,1,tbettis@bellsouth.net,
Choo Choo BBQ & Grill,https://www.yellowpages.com/chickamauga-ga/mip/choo-choo-bbq-grill-462237543,{},(706) 375-7675,"['Barbecue Restaurants', 'Caterers', 'Restaurants']",12960 N Highway 27,"Chickamauga, GA 30707",five,1,yp-logo@2x.png,
Spanky & Co Smoke House,https://www.yellowpages.com/harrison-tn/mip/spanky-co-smoke-house-525141248,{},(423) 713-7887,"['Barbecue Restaurants', 'Restaurants']",6306 Highway 58,"Harrison, TN 37341",,,spankysmokehouse49@yahoo.com,
Southern BBQ,https://www.yellowpages.com/hixson-tn/mip/southern-bbq-495832711,{},(423) 710-1774,"['Barbecue Restaurants', 'Take Out Restaurants', 'Caterers']",7711 Hixson Pike,"Hixson, TN 37343",,,jsouthrest@aol.com,
Thatcher's Barbecue & Grill,https://www.yellowpages.com/ringgold-ga/mip/thatchers-barbecue-grill-504538831,"{'Website': 'http://www.thatchersbbq.net', 'View Menu': '/ringgold-ga/mip/thatchers-barbecue-grill-504538831#open-menu'}",(706) 935-6465,"['Barbecue Restaurants', 'Bar & Grills', 'Restaurants']",2929 Highway 41,"Ringgold, GA 30736",,,yp-logo@2x.png,
BBQ Shack,https://www.yellowpages.com/ringgold-ga/mip/bbq-shack-507470730,{},(706) 866-7976,"['Barbecue Restaurants', 'Restaurants']",273 Brownwood Ln,"Ringgold, GA 30736",,,yp-logo@2x.png,
Vittles BBQ & Country Fixins,https://www.yellowpages.com/chickamauga-ga/mip/vittles-bbq-country-fixins-566312982,{'Website': 'https://vittlesbbqonline.com/home'},(706) 924-2753,"['Barbecue Restaurants', 'Restaurants']",505 W 9th St,"Chickamauga, GA 30707",,,yp-logo@2x.png,
Bailey's Bar-B-Que,https://www.yellowpages.com/ringgold-ga/mip/baileys-bar-b-que-9798806,{'Website': 'http://baileysbbq.com/menu'},(706) 935-2969,"['Barbecue Restaurants', 'American Restaurants', 'Caterers']",5540 Highway 41,"Ringgold, GA 30736",,,yp-logo@2x.png,
Dixie BBQ,https://www.yellowpages.com/hixson-tn/mip/dixie-bbq-887157,{'Website': 'http://www.facebook.com/Dixie-BBQ-116145738405750'},(423) 842-4025,"['Barbecue Restaurants', 'American Restaurants', 'Take Out Restaurants']",1530 Boy Scout Rd,"Hixson, TN 37343",,,yp-logo@2x.png,http://www.facebook.com/Dixie-BBQ-116145738405750
Choo Choo Bar-B-Que,https://www.yellowpages.com/ringgold-ga/mip/choo-choo-bar-b-que-4918215,{'Website': 'https://www.facebook.com/ccbbqringgold'},(706) 937-5777,"['Barbecue Restaurants', 'American Restaurants', 'Hamburgers & Hot Dogs']",1670 Old Mill Rd,"Ringgold, GA 30736",,,yp-logo@2x.png,https://www.facebook.com/ccbbqringgold
Couch's Barbecue,https://www.yellowpages.com/ooltewah-tn/mip/couchs-barbecue-13649787,"{'Website': 'http://www.couchsbbq.org', 'View Menu': '/ooltewah-tn/mip/couchs-barbecue-13649787#open-menu'}",(423) 238-4801,"['Barbecue Restaurants', 'American Restaurants', 'Take Out Restaurants']",8307 Old Lee Hwy,"Ooltewah, TN 37363",four half,2,couchsbbq@gmail.com,
Sweeney's BBQ Inc,https://www.yellowpages.com/harrison-tn/mip/sweeneys-bbq-inc-26038673,{'Website': 'http://www.facebook.com/Sweeneysbarbq'},(423) 344-8337,"['Barbecue Restaurants', 'Caterers', 'American Restaurants']",5928 Highway 58,"Harrison, TN 37341",,,yp-logo@2x.png,http://www.facebook.com/Sweeneysbarbq
Hwy 58 BBQ Too,https://www.yellowpages.com/ooltewah-tn/mip/hwy-58-bbq-too-17900071,{'Website': 'https://www.hwy58bbq.net'},(423) 238-2926,"['Barbecue Restaurants', 'Restaurants']",5722 Main St,"Ooltewah, TN 37363",,,yp-logo@2x.png,
Spencer B's BBQ,https://www.yellowpages.com/ringgold-ga/mip/spencer-bs-bbq-5357456,"{'Website': 'http://www.facebook.com/welikepigbutts', 'View Menu': '/ringgold-ga/mip/spencer-bs-bbq-5357456#open-menu'}",(706) 935-7675,"['Barbecue Restaurants', 'Caterers', 'American Restaurants']",6581 Highway 41,"Ringgold, GA 30736",five,4,bbgtycoon@aol.com,http://www.facebook.com/welikepigbutts
BBQ Andy's,https://www.yellowpages.com/soddy-daisy-tn/mip/bbq-andys-467162540,{},(423) 332-2011,"['Barbecue Restaurants', 'Restaurants']",106 Karen Dr,"Soddy Daisy, TN 37379",five,3,yp-logo@2x.png,
Thatcher's Barbecue & Grill,https://www.yellowpages.com/trenton-ga/mip/thatchers-barbecue-grill-456465519,{'Website': 'http://thatchersbbq.net/index.html'},(706) 657-6465,"['Barbecue Restaurants', 'Caterers', 'Restaurants']",35 Price St,"Trenton, GA 30752",five,2,yp-logo@2x.png,
Off The Farm Barbque,https://www.yellowpages.com/soddy-daisy-tn/mip/off-the-farm-barbque-562492338,{},(423) 332-1927,"['Barbecue Restaurants', 'Restaurants']",106 Karen Dr,"Soddy Daisy, TN 37379",,,yp-logo@2x.png,
Shane's Rib Shack,https://www.yellowpages.com/ooltewah-tn/mip/shanes-rib-shack-530479006,{'Website': 'http://www.shanesribshack.com'},(423) 591-7427,"['Barbecue Restaurants', 'Restaurants', 'Take Out Restaurants']",9448 Bradmore Ln Ste 108,"Ooltewah, TN 37363",,,yp-logo@2x.png,
Ramsey's BBQ,https://www.yellowpages.com/whitwell-tn/mip/ramseys-bbq-536905770,{'Website': 'https://www.facebook.com/RamseysBBQ'},(423) 939-0433,"['Barbecue Restaurants', 'Restaurants']",7096 Highway 28,"Whitwell, TN 37397",,,yp-logo@2x.png,https://www.facebook.com/RamseysBBQ
Jerome's Fine Swine & BBQ,https://www.yellowpages.com/whitwell-tn/mip/jeromes-fine-swine-bbq-541302925,{'Website': 'https://www.facebook.com/JeromesFineSwine'},(423) 658-8550,"['Barbecue Restaurants', 'Restaurants']",13212 Highway 28,"Whitwell, TN 37397",,,yp-logo@2x.png,https://www.facebook.com/JeromesFineSwine
All Smoked Up BBQ,https://www.yellowpages.com/rock-spring-ga/mip/all-smoked-up-bbq-472626647,{},(706) 375-2500,"['Barbecue Restaurants', 'Restaurants']",8009 N Highway 27,"Rock Spring, GA 30739",,,yp-logo@2x.png,
Couch Barbecue,https://www.yellowpages.com/ooltewah-tn/mip/couch-barbecue-17207007,{'Website': 'http://couchsbbq.org'},(423) 238-4344,"['Barbecue Restaurants', 'Restaurants']",6801 Snow Hill Rd,"Ooltewah, TN 37363",,,yp-logo@2x.png,
Logan's Roadhouse,https://www.yellowpages.com/hixson-tn/mip/logans-roadhouse-467673932,{'Website': 'http://www.logansroadhouse.com'},(423) 875-4443,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",5250 Highway 153,"Hixson, TN 37343",,,investorrelations@logansroadhouse.com,
Logan's Roadhouse,https://www.yellowpages.com/hixson-tn/mip/logans-roadhouse-569291778,{'Website': 'http://www.logansroadhouse.com'},(423) 875-4443,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",5256 Highway 153,"Hixson, TN 37343",,,yp-logo@2x.png,
Cook-Out,https://www.yellowpages.com/hixson-tn/mip/cook-out-510820553,{'Website': 'http://www.cookout.com'},(866) 547-0011,"['Barbecue Restaurants', 'Fast Food Restaurants', 'American Restaurants']",5390 Highway 153,"Hixson, TN 37343",,,yp-logo@2x.png,
Heavenly Wings,https://www.yellowpages.com/hixson-tn/mip/heavenly-wings-469666741,{'Website': 'http://www.yelp.com/biz/heavenly-flavored-wings-chattanooga'},(423) 499-9949,"['Barbecue Restaurants', 'Chicken Restaurants', 'American Restaurants']",5425 Highway 153,"Hixson, TN 37343",,,prabinpatel@tklv.com,
Cook-Out,https://www.yellowpages.com/fort-oglethorpe-ga/mip/cook-out-533296731,{'Website': 'http://www.cookout.com'},(866) 547-0011,"['Barbecue Restaurants', 'Fast Food Restaurants', 'Restaurants']",920 Battlefield Pkwy,"Fort Oglethorpe, GA 30742",,,yp-logo@2x.png,
Logan's Roadhouse,https://www.yellowpages.com/fort-oglethorpe-ga/mip/logans-roadhouse-1951040,"{'Website': 'http://www.logansroadhouse.com', 'View Menu': '/fort-oglethorpe-ga/mip/logans-roadhouse-1951040#open-menu'}",(706) 858-8482,"['Barbecue Restaurants', 'American Restaurants', 'Restaurants']",2584 Battlefield Pkwy,"Fort Oglethorpe, GA 30742",three,4,yp-logo@2x.png,
Ronnies,https://www.yellowpages.com/jasper-tn/mip/ronnies-451131769,{},(423) 942-6225,"['Barbecue Restaurants', 'Bars', 'Bar & Grills']",6400 Highway 41,"Jasper, TN 37347",,,yp-logo@2x.png,
